object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation
rigid,global,1000,2,0.001,0.008325552567839622,0.0062919980846345425
rigid,global,1000,2,0.01,0.008361387066543102,0.00627416605129838
rigid,global,1000,2,0.1,0.008699988946318626,0.005995466373860836
rigid,global,1000,2,0.3,0.009655513800680637,0.007895482704043388
rigid,global,1000,2,1.0,0.007921257056295872,0.006057850085198879
rigid,global,1000,2,2.0,0.00699938740581274,0.004329165909439325
rigid,part,1000,2,0.001,0.008325552567839622,0.0062919980846345425
rigid,part,1000,2,0.01,0.008361387066543102,0.00627416605129838
rigid,part,1000,2,0.1,0.008699988946318626,0.005995466373860836
rigid,part,1000,2,0.3,0.009655513800680637,0.007895482704043388
rigid,part,1000,2,1.0,0.007921257056295872,0.006057850085198879
rigid,part,1000,2,2.0,0.00699938740581274,0.004329165909439325
rigid,none,5000,0,0.0,0.009969265200197697,0.0038923886604607105
rigid,global,5000,0,0.001,0.010179325006902218,0.003671698970720172
rigid,global,5000,0,0.01,0.010047602467238903,0.0034534826409071684
rigid,global,5000,0,0.1,0.0106147276237607,0.00446039903908968
rigid,global,5000,0,0.3,0.012600386515259743,0.005840272177010775
rigid,global,5000,0,1.0,0.008506396785378456,0.0032476945780217648
rigid,global,5000,0,2.0,0.009012095630168915,0.003721088171005249
rigid,part,5000,0,0.001,0.010179325006902218,0.003671698970720172
rigid,part,5000,0,0.01,0.010047602467238903,0.0034534826409071684
rigid,part,5000,0,0.1,0.0106147276237607,0.00446039903908968
rigid,part,5000,0,0.3,0.012600386515259743,0.005840272177010775
rigid,part,5000,0,1.0,0.008506396785378456,0.0032476945780217648
rigid,part,5000,0,2.0,0.009012095630168915,0.003721088171005249
rigid,none,5000,1,0.0,0.00917678140103817,0.0054948716424405575
rigid,global,5000,1,0.001,0.009171484038233757,0.005094620399177074
rigid,global,5000,1,0.01,0.009584632702171803,0.005115718115121126
rigid,global,5000,1,0.1,0.010347128845751286,0.0056667872704565525
rigid,global,5000,1,0.3,0.011734258383512497,0.005809435620903969
rigid,global,5000,1,1.0,0.009447897784411907,0.004628908820450306
rigid,global,5000,1,2.0,0.0071728406473994255,0.0026846560649573803
rigid,part,5000,1,0.001,0.009171484038233757,0.005094620399177074
rigid,part,5000,1,0.01,0.009584632702171803,0.005115718115121126
rigid,part,5000,1,0.1,0.010347128845751286,0.0056667872704565525
rigid,part,5000,1,0.3,0.011734258383512497,0.005809435620903969
rigid,part,5000,1,1.0,0.009447897784411907,0.004628908820450306
rigid,part,5000,1,2.0,0.0071728406473994255,0.0026846560649573803
rigid,none,5000,2,0.0,0.00863668229430914,0.006138963159173727
rigid,global,5000,2,0.001,0.009144461713731289,0.006967737339437008
rigid,global,5000,2,0.01,0.00915788859128952,0.005844742525368929
rigid,global,5000,2,0.1,0.011772305704653263,0.0049526202492415905
rigid,global,5000,2,0.3,0.010601751506328583,0.00485984468832612
rigid,global,5000,2,1.0,0.009910291992127895,0.006862386595457792
rigid,global,5000,2,2.0,0.006351834628731012,0.004101583268493414
rigid,part,5000,2,0.001,0.009144461713731289,0.006967737339437008
rigid,part,5000,2,0.01,0.00915788859128952,0.005844742525368929
rigid,part,5000,2,0.1,0.011772305704653263,0.0049526202492415905
rigid,part,5000,2,0.3,0.010601751506328583,0.00485984468832612
rigid,part,5000,2,1.0,0.009910291992127895,0.006862386595457792
rigid,part,5000,2,2.0,0.006351834628731012,0.004101583268493414
articulated,none,100,0,0.0,0.024446357041597366,0.01794515922665596
articulated,global,100,0,0.001,0.024453261867165565,0.01794247142970562
articulated,global,100,0,0.01,0.024533424526453018,0.01795368455350399
articulated,global,100,0,0.1,0.025418251752853394,0.018073206767439842
articulated,global,100,0,0.3,0.02773910015821457,0.018493393436074257
articulated,global,100,0,1.0,0.05698562040925026,0.02192479372024536
articulated,global,100,0,2.0,0.07893811166286469,0.011126858182251453
articulated,part,100,0,0.001,0.024459432810544968,0.01794796995818615
articulated,part,100,0,0.01,0.0244759451597929,0.017926279455423355
articulated,part,100,0,0.1,0.025011925026774406,0.017904845997691154
articulated,part,100,0,0.3,0.025948908179998398,0.017621366307139397
articulated,part,100,0,1.0,0.03752206265926361,0.020404426380991936
